"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
1,10,827.536999464035,12.368499994278,9,1,0,0.336237932279091,9,2772.46300053596,298.125,5,4,0,0.173335999558969,1019,6
2,2,138.798000097275,69.3990000486374,2,0,0,0.577446606099794,2,3461.20199990273,1730.60099995136,1,0,1,0.845330713829721,1019,6
3,3,76.0790002346039,15.5260000228882,3,0,0,0.6107138698673,3,3523.9209997654,1032.45600008965,0,2,1,0.39007867777689,1019,6
4,2,45.938000202179,22.9690001010895,2,0,0,0.59057497291487,2,3554.06199979782,1777.03099989891,1,0,1,0.987260252746217,1019,6
5,7,271.828000068665,7.95500016212463,7,0,0,0.562672899343655,7,3328.17199993134,323.3109998703,3,4,0,0.282004974851909,1019,6
6,5,130.273999929428,7.57599997520447,5,0,0,0.591557203367053,5,3469.72600007057,747.348999977112,2,3,0,0.256269151620993,1019,6
7,6,1148.93900036812,150.720500230789,4,2,0,0.257795972279261,6,2451.06099963188,217.18699991703,3,3,0,0.356113027913396,1019,6
8,1,50.1029999256134,50.1029999256134,1,0,0,1,1,3549.89700007439,3549.89700007439,0,0,1,1,1019,6
9,12,1776.83899998665,16.0294998884201,11,1,0,0.590512472267089,12,1823.16100001335,126.534000039101,11,1,0,0.114824942054352,1019,6
1,2,16.1909999847412,8.09549999237061,2,0,0,0.547854719528828,2,3583.80900001526,1791.90450000763,1,0,1,0.996771796342774,1022,4
2,4,841.670999765396,166.06149995327,2,2,0,0.506574420835932,4,2758.3290002346,683.246000051498,2,2,0,0.462499156696086,1022,5
3,2,12.0889999866486,6.04449999332428,2,0,0,0.503707582433269,2,3587.91100001335,1793.95550000668,1,0,1,0.995512788432692,1022,5
4,3,105.516000032425,44.4909999370575,3,0,0,0.476332759370697,3,3494.48399996758,1120.17700004578,0,3,0,0.334641303192815,1022,4
5,2,30.3909997940063,15.1954998970032,2,0,0,0.545889813697284,2,3569.60900020599,1784.804500103,0,1,1,0.822246370156497,1022,5
6,3,23.6800003051758,6.36600017547607,3,0,0,0.381437548841308,3,3576.31999969482,547.128999948502,1,1,1,0.737449319099205,1022,4
7,2,50.8000001907349,25.4000000953674,2,0,0,0.792702859567382,2,3549.19999980927,1774.59999990463,1,0,1,0.993563618181271,1022,5
8,1,37.3499999046326,37.3499999046326,1,0,0,1,1,3562.65000009537,3562.65000009537,0,0,1,1,1022,5
9,2,52.4240002632141,26.2120001316071,2,0,0,0.771971411438769,2,3547.57599973679,1773.78799986839,1,0,1,0.94235357838048,1022,5
10,2,10.9979996681213,5.49899983406067,2,0,0,0.500952412549177,2,3589.00200033188,1794.50100016594,1,0,1,0.995944175822098,1022,4
11,3,108.325000047684,5.87099981307983,3,0,0,0.829053768959615,3,3491.67499995232,1512.08399987221,0,3,0,0.404870451233419,1022,5
