"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA","Mean_SWLS"
11982.7740006447,0.16558227954789,19,360.618000030518,7,10,1,16.95,42565.076000452,0.147320377209837,18,1308.55599999428,4,7,7,1003,5.375,4,4.25,5,4.6
9656.81899952888,0.0547489754229328,75.5,39.0320001840591,68,7.5,0,17.6333333333333,52973.4990003109,0.038349444705442,74,248.3140001297,38,26,10,1034,5.5,4.5,4.5,6,4.6
15599.0705002546,0.315629818214663,42,16.9910001158714,37,3,2,16.7166666666667,45892.2974997759,0.0735702727372076,43,525.715500116348,17,15.5,8,1035,5.875,5,2.75,6,5.4
24720.0660004616,0.187459388833425,33,136.301000118256,23,8,3,18.4166666666667,42578.7214999199,0.0667122117014287,33.5,710.366250038147,9.5,18,7,1041,3.625,3,3.75,3.5,2.4
11880.2484995127,0.0992104003697316,28,167.179000020027,19,9.5,1.5,17.6666666666667,48077.8729989529,0.103289156539345,27,627.045000076294,10,12,7,1049,5,4,5.5,5,5.6
6691.18099999428,0.0312089166949254,71,46.6640000343323,65,3,0,16.6666666666667,53857.5405005217,0.0437060382332647,66,397.325750112534,26.5,31.5,7.5,1053,4.125,3.25,5,5,3.2
14612.2239996195,0.0384455428345055,159,22.2557500600815,146,12.5,0,17.3333333333333,47105.4860029221,0.017978107855449,157,162.889999866486,106,48,2,1060,5.25,3.75,3.25,6,6
20973.3359997272,0.111367006075213,35.5,100.650249898434,22,10,4,16.5416666666667,34047.7260004282,0.0684819178146293,36.5,418.249249994755,14.5,14,6,1069,7,4.75,2.5,7,4.6
24781.1349983215,0.0917855207966154,78,25.9259999990463,60,13,5,17.7,36252.6615005732,0.0515757552446447,78.5,237.740750074387,47,25.5,3,1071,4.375,3,1.75,5,4.8
21245.7175010443,0.0862282774210343,73,80.1920000314713,64.5,11.5,2,17.2833333333333,39477.4499971867,0.0431890252926822,73,210.166999816895,39,27,5,1074,4.25,4,3.75,4.5,2.2
6173.30849909782,0.1115449377357,46.5,36.2249999642372,44,3,1,16.5833333333333,53152.6200015545,0.0579607749909179,47,332.769999980927,23,16,10,1078,5.75,4.25,4.5,3,1.2
13634.2035001516,0.0501919365551183,97,35.2584999799728,85.5,14,0,16.2,41898.9599993229,0.0428719042984277,95,180.005000114441,60,28,5,1083,5.625,4,5,5.5,6
11482.5890009403,0.0635177956185286,64,69.1760001182556,54,9,0,15.5416666666667,44101.2479997873,0.0798760943491316,52.5,276.562500059605,25.5,20.5,6.5,1084,6.25,6,2,6,5.4
25224.3590006828,0.132947277041965,76,30.8889999389648,61,11,4,16.0333333333333,33064.3529992104,0.0456670395051296,77,221.786999940872,51,22,3,1087,6.875,6.25,1.75,6.5,5.4
6020.82599973679,0.113035648128041,65,18.7720000743866,60,5,1,18.3333333333333,60627.8839998245,0.0431393940886409,66,457.21599984169,29,20,9,1090,5.375,4,3,5,3.2
13747.1734998226,0.276653025726227,58,53.2209998965263,51.5,4.5,1,15.7,42027.4050011635,0.0828831302743802,78,174.124500155449,46,23,2,1093,5.25,5,2.75,6,5.4
12858.7709987164,0.0469224985739505,142,17.1800000667572,127,11,0,16.575,48206.9235008955,0.0349085319005914,135.5,134.800500094891,94.5,34.5,2,1094,4.5,4.75,2.25,6.5,5.4
14485.6460001469,0.107507844839012,43,92.8369998931885,32,9,1,16.9666666666667,47174.4509997368,0.0735849476596859,44,334.807999968529,17,14,9,1096,5.5,4.5,5.5,6,5.6
7609.05600047112,0.187434338855434,30,77.9919998645782,22,4,1,19.6833333333333,60659.1680002213,0.0944422950217142,31,945.490499973297,7,15,8,1098,5.125,4.25,2.75,4,4.6
