"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA"
10910.8470005989,0.119557564811024,44,130.556249916553,37.5,8.5,1,14.4333333333333,42119.6699986458,0.0560931445382895,41,505.490999937057,16.5,17,7,1068,3.75,2,6,2
10748.1579990387,0.0786745350658101,29,146.25150001049,19,13,0,16.0833333333333,45901.2509996891,0.0683820768665853,30,720.212000012398,10.5,12.5,9,1069,7,6.25,1.75,7
24453.4204993248,0.0840622613654567,65,35.9462500214577,48.5,13,3.5,18.5,36135.5015006065,0.0550187487477376,66,180.648750007153,38,18,4,1071,4.875,4.25,2.5,5.5
14957.6999996901,0.0795511010863887,83.5,39.7960000038147,73.5,7.5,2,17.0333333333333,47900.7789983749,0.0387871447261727,83,242.825000047684,48,27,6,1074,4.375,4.25,3.75,5.5
3895.06200027466,0.0878706095238659,38.5,44.2862500548363,34.5,3,0,16.7833333333333,55954.8160021305,0.0694011990285239,39,684.641500115395,14,15,10,1078,5.75,3.25,3.5,3.5
11508.9340018034,0.0422397182222018,83,59.8899998664856,73.5,6.5,0,15.875,45811.3834981918,0.0326717166104722,80.5,285.89100009203,41.5,34.5,4.5,1084,6.25,5,1.75,6
22711.135999918,0.0738449195399176,98,30.1480002403259,84,10,4,16.7166666666667,35883.6595005989,0.0368762458783576,95.5,150.619499921799,66,25,4,1087,6.375,5.25,1.75,5.5
8650.17050004005,0.138822567581039,48,19.6702498793602,43.5,4.5,1,17.6666666666667,56869.6360013485,0.0632569891027332,43,727.133000135422,17,16,10,1090,5,4.75,4,5.5
21962.6684997082,0.337631426642436,70,34.0567499995232,62,6.5,1.5,15.2166666666667,33006.3099997044,0.0887099509060818,79,103.455999970436,62,15,3,1093,6.25,5.5,2.5,6.5
16117.5055003166,0.0937912589785501,108,10.4547500014305,101,6,2,16,41733.5439972878,0.0348816414644362,113,110.393499970436,84,33,5,1094,4.75,4,4,4
10951.2214998007,0.170784457613932,34,68.1020000576973,27.5,5,1.5,16.175,47878.5514991283,0.0718653745243023,35,738.151499927044,10.5,14,9,1096,5.125,5,4.5,5
7977.49700021744,0.109217087191196,39,41.3907499313354,32,6.5,1,16.6916666666667,50710.4379996061,0.0672159207379744,40,508.445750057697,12,17,9,1097,4.375,2,2.75,4
13331.2199997902,0.15930035994344,26,118.873500108719,18,5,2,18.5,49690.7539997101,0.0713984088297181,27,1233.91000008583,4,11,10,1098,6.25,4.25,3,5
14933.6154997349,0.0948973197124699,84.5,30.1699999570847,73,8.5,1,15.5166666666667,38451.0054991245,0.0538644234588116,85.5,166.4224999547,57,30.5,4,1099,6.25,5.5,2.75,6
2091.34550035,0.315706066004457,22.5,13.8119999170303,21,2,0,16,54603.9020006657,0.0929623577559574,22,1642.14149999619,3,8,8,1102,5.875,5.75,1.5,6
27618.1830005646,0.152859924751374,29,408.309500098228,16,9,5,14.75,26464.6369991302,0.0844703853616333,30,562.718499898911,9,13,4,1103,4.125,2,4,4
16384.6800003052,0.11709626815948,61,13.7020001411438,50,7,3,17.625,46072.3064994812,0.0530941229131418,57.5,338.528499901295,27,19.5,8.5,1105,4.375,2.5,5.75,2
22388.7035003901,0.142481924335392,37.5,78.5207499265671,28,6,4,16.7,38986.6650009155,0.121601726929185,37,271.464999914169,18,10,7,1113,3.375,2.25,4.25,3.5
7063.45800113678,0.0343534088128788,117,20.0699999332428,112,3,0,17.0333333333333,54197.2169984579,0.0252922167204387,109.5,236.552749812603,61,49.5,5,1117,5.5,3.75,4.5,4
5434.23099970818,0.0642946515813818,59.5,23.6114999055862,56,5,0.5,18.0333333333333,59706.2620000839,0.18024481697643,47,529.839499950409,19,20,7,1125,4.375,3.75,3,3.5
11091.8145000935,0.0722638036892499,71,24.5457500219345,62,9.5,1,16.6833333333333,51715.693999052,0.0457715081090488,61,301.958000183105,27,24,8,1131,4,2.25,4,4
7411.730001688,0.138224137363912,43,26.5030000209808,36,6,0,15.3416666666667,48782.9109990597,0.0911994071483954,35,358.475500047207,16.5,12.5,7.5,1134,3.75,2,4,5
13880.3170008659,0.118271903591271,40.5,119.897249937057,30.5,11.5,1.5,17.2333333333333,47785.6339998245,0.0834943735171534,41,340.030000209808,19,14,9,1151,6,5.75,2.5,6
26657.0170004368,0.120291135652772,51,25.7550001144409,43,7,2,16.7666666666667,38613.4499981403,0.0674490277611322,44,316.588999986649,17,19,6,1155,4.375,3.5,6,3
