"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
1,2,902.733000040054,451.366500020027,1,1,0,0.991243167283082,2,2697.26699995995,1348.63349997997,0,1,1,0.692967921732093,1018,6
2,4,1904.93299984932,7.21200001239777,3,0,1,0.978744434375448,3,1695.06700015068,82.5139999389648,2,1,0,0.85622697711637,1018,6
3,3,2953.38400030136,7.41799998283386,2,0,1,0.990478454547718,2,646.615999698639,323.307999849319,1,1,0,0.636816133963843,1018,5
4,4,2947.29699993134,460.093999862671,2,1,1,0.564036702018459,3,652.703000068665,251.77799987793,2,1,0,0.500799802716629,1018,5
5,1,3600,3600,0,0,1,1,0,0,0,0,0,0,1,1018,6
6,2,10.7980000972748,5.39900004863739,2,0,0,0.545630079193074,2,3589.20199990273,1794.60099995136,0,1,1,0.593461396031635,1018,6
7,3,925.994000434875,218.973000049591,2,1,0,0.491244133811127,2,2674.00599956512,1337.00299978256,0,1,1,0.735257951141693,1018,5
1,4,879.752000331879,72.9605000019073,3,1,0,0.717756538764355,4,2720.24799966812,592.962999820709,2,2,0,0.395446030047708,1029,3
2,6,2221.72399997711,87.1944999694824,4,2,0,0.426155165904291,6,1378.27600002289,188.884000062943,3,3,0,0.313517801490517,1029,5
3,3,370.444000244141,7.59800004959106,2,1,0,0.931791686519395,2,3229.55599975586,1614.77799987793,1,0,1,0.988431427004115,1029,4
4,4,224.192999839783,11.3799999952316,4,0,0,0.78595723435207,4,3375.80700016022,604.616500139236,1,2,1,0.450916388168631,1029,4
5,4,1059.33299970627,235.644499897957,2,2,0,0.442005392905964,4,2540.66700029373,453.636500000954,2,2,0,0.41697886819605,1029,5
1,2,14.58899974823,7.29449987411499,2,0,0,0.670889440672412,2,3585.41100025177,1792.70550012589,0,1,1,0.50237579972055,1034,4
2,3,122.297999858856,41.0520000457764,3,0,0,0.338341700126972,3,3477.70200014114,481.02799987793,0,2,1,0.60042978973758,1034,3
3,3,93.9910001754761,22.8470001220703,3,0,0,0.595239369466818,3,3506.00899982452,598.162999868393,0,2,1,0.534252617394263,1034,4
4,4,231.446000099182,39.9375,4,0,0,0.339761985191298,3,3368.55399990082,1222.76300001144,0,3,0,0.374190605740065,1034,4
5,1,9.24699997901917,9.24699997901917,1,0,0,1,1,3590.75300002098,3590.75300002098,0,0,1,1,1034,4
6,6,528.603999614716,76.0770000219345,6,0,0,0.329740372684548,6,3071.39600038528,147.182500123978,5,0,1,0.694050015157724,1034,4
7,4,160.601999998093,35.7065000534058,4,0,0,0.390707470148624,4,3439.39800000191,743.631500005722,1,3,0,0.340273295251166,1034,4
8,12,460.765000104904,16.5325000286102,12,0,0,0.175020081293702,12,3139.2349998951,120.171000003815,10,2,0,0.278969976269157,1034,4
9,8,606.963999986649,10.006500005722,7,1,0,0.417438658303484,8,2993.03600001335,43.663999915123,5,3,0,0.393268465574026,1034,5
10,3,206.772000074387,62.6090002059937,3,0,0,0.559862648086675,3,3393.22799992561,181.543999910355,2,0,1,0.813666922654191,1034,5
11,3,104.682000160217,11.8830001354218,3,0,0,0.639065627204583,3,3495.31799983978,1114.49599981308,0,3,0,0.347872147835058,1034,5
12,7,718.110999584198,39.9950001239777,6,1,0,0.398671069834982,7,2881.8890004158,347.875999927521,3,4,0,0.250289242374297,1034,5
13,4,1988.73000049591,19.7620000839233,3,0,1,0.953380861166914,4,1611.26999950409,440.130999922752,2,2,0,0.381253621864377,1034,5
14,4,295.932000160217,76.682000041008,4,0,0,0.357862206663448,3,3304.06799983978,1155.00899982452,0,3,0,0.426463283698613,1034,5
1,2,140.835000038147,70.4175000190735,2,0,0,0.913618166357551,2,3459.16499996185,1729.58249998093,0,1,1,0.555018387429736,1035,2
2,6,47.4690001010895,6.43999993801117,6,0,0,0.209693306012538,6,3552.53099989891,492.7769998312,1,5,0,0.223100343687178,1035,4
3,6,520.391000032425,54.4494999647141,6,0,0,0.342374145281942,5,3079.60899996758,93.9079999923706,3,1,1,0.706080462711505,1035,3
4,1,19.9020001888275,19.9020001888275,1,0,0,1,1,3580.09799981117,3580.09799981117,0,0,1,1,1035,5
5,5,584.106000185013,8.3840000629425,4,1,0,0.851899349165669,4,3015.89399981499,648.544999837875,2,2,0,0.473051919406533,1035,5
6,1,3600,3600,0,0,1,1,0,0,0,0,0,0,1,1035,5
7,7,192.940999984741,11.0679998397827,7,0,0,0.33117768288206,7,3407.05900001526,142.27999997139,5,1,1,0.403153800779687,1035,5
8,5,1992.36900043488,12.6160001754761,3,2,0,0.704087224231629,4,1607.63099956512,275.834499835968,2,2,0,0.434902930798372,1035,5
9,4,51.5459997653961,5.85549986362457,4,0,0,0.506252425792254,4,3548.4540002346,983.476000070572,1,3,0,0.363520019708862,1035,5
10,2,750.001000165939,375.00050008297,1,1,0,0.992410365158909,1,2849.99899983406,2849.99899983406,0,0,1,1,1035,4
11,1,3.46300029754639,3.46300029754639,1,0,0,1,1,3596.53699970245,3596.53699970245,0,0,1,1,1035,5
12,3,82.2479999065399,21.3980000019073,3,0,0,0.536273837548335,3,3517.75200009346,933.365999937057,0,3,0,0.361754487555131,1035,5
13,3,24.2080001831055,6.90799999237061,3,0,0,0.354170487499688,3,3575.79199981689,18.4340000152588,2,0,1,0.984428648313713,1035,5
14,2,1763.64199995995,881.820999979973,1,1,0,0.996271524922457,1,1836.35800004005,1836.35800004005,0,0,1,1,1035,5
15,2,43.9249997138977,21.9624998569489,2,0,0,0.840066033337372,2,3556.0750002861,1778.03750014305,0,1,1,0.587765604393051,1035,5
16,1,8.34899997711182,8.34899997711182,1,0,0,1,1,3591.65100002289,3591.65100002289,0,0,1,1,1035,5
17,2,9.6470000743866,4.8235000371933,2,0,0,0.642107981319562,2,3590.35299992561,1795.17649996281,1,0,1,0.859940790065441,1035,4
18,1,25.0800001621246,25.0800001621246,1,0,0,1,1,3574.91999983788,3574.91999983788,0,0,1,1,1035,5
19,5,65.6379997730255,13.039999961853,5,0,0,0.215864657441578,5,3534.36200022697,528.376999855042,1,4,0,0.24967011315036,1035,5
20,1,6.0389997959137,6.0389997959137,1,0,0,1,1,3593.96100020409,3593.96100020409,0,0,1,1,1035,3
21,4,1040.02300000191,11.4585000276566,3,1,0,0.948124718602178,3,2559.97699999809,1092.96399974823,0,3,0,0.397747278724098,1035,4
22,2,186.611000061035,93.3055000305176,2,0,0,0.907178516803866,2,3413.38899993896,1706.69449996948,0,1,1,0.530211267248073,1035,5
1,3,150.264999628067,15.2109999656677,3,0,0,0.777118709112288,3,3449.73500037193,1044.08100008965,1,1,1,0.531137298749531,1041,4
2,3,2095.42199993134,605.825999975204,1,2,0,0.56824099790434,2,1504.57800006866,752.289000034332,1,1,0,0.842506671911702,1041,4
3,4,1347.17799973488,126.693999886513,3,1,0,0.662834545354722,3,2252.82200026512,281.476000070572,2,0,1,0.760942881608091,1041,5
4,3,784.718000173569,15.2220001220703,2,1,0,0.95309783379121,2,2815.28199982643,1407.64099991322,0,1,1,0.707839585609562,1041,3
5,2,2369.39200019836,1184.69600009918,1,0,1,0.997807752292637,1,1230.60799980164,1230.60799980164,0,1,0,1,1041,4
6,2,2589.87199997902,1294.93599998951,1,0,1,0.998033500302913,1,1010.12800002098,1010.12800002098,0,1,0,1,1041,4
7,2,1266.48100018501,633.240500092506,1,1,0,0.800443605155308,1,2333.51899981499,2333.51899981499,0,0,1,1,1041,4
8,4,1029.07499957085,153.71549987793,3,1,0,0.532103986452818,3,2570.92500042915,508.019000053406,1,1,1,0.673479449649846,1041,4
9,3,1355.56399989128,316.651999950409,1,2,0,0.63856154178484,3,2244.43600010872,724.009000062943,0,3,0,0.376401705568439,1041,5
10,1,2.92700004577637,2.92700004577637,1,0,0,1,1,3597.07299995422,3597.07299995422,0,0,1,1,1041,5
11,3,407.401000022888,19.289999961853,2,1,0,0.898317230293154,3,3192.59899997711,790.083000183105,1,1,1,0.535325730526713,1041,5
12,4,1274.37899971008,151.7144998312,3,1,0,0.629386459609107,4,2325.62100028992,427.311500072479,2,2,0,0.469086825099923,1041,3
13,2,261.315999746323,130.657999873161,2,0,0,0.976301385631853,2,3338.68400025368,1669.34200012684,0,1,1,0.815422296075935,1041,4
14,1,2.50399994850159,2.50399994850159,1,0,0,1,1,3597.4960000515,3597.4960000515,0,0,1,1,1041,5
15,5,2093.04699993134,248.108999967575,3,2,0,0.389435076501618,5,1506.95300006866,317.776999950409,2,3,0,0.256676534654678,1041,4
16,3,643.02999997139,201.230999946594,2,1,0,0.563892543115571,3,2956.97000002861,915.700000047684,0,3,0,0.435753635497529,1041,5
17,2,2879.27400016785,1439.63700008392,1,0,1,0.996908180444229,1,720.725999832153,720.725999832153,0,1,0,1,1041,5
18,6,1422.04700016975,235.763999938965,4,2,0,0.274841881411748,6,2177.95299983025,471.575499892235,2,4,0,0.22044360135953,1041,4
19,3,58.5030002593994,2.34600019454956,3,0,0,0.866178567489691,3,3541.4969997406,1186.05800008774,1,1,1,0.502739416789586,1041,4
20,6,815.283999681473,77.2670001983643,5,1,0,0.388825550379756,6,2784.71600031853,383.484499931335,2,4,0,0.285120060017243,1041,5
1,2,8.62500023841858,4.31250011920929,2,0,0,0.814734879473243,2,3591.37499976158,1795.68749988079,0,1,1,0.59583868971721,1049,2
2,1,3.08200001716614,3.08200001716614,1,0,0,1,1,3596.91799998283,3596.91799998283,0,0,1,1,1049,3
3,3,2296.4509999752,352.996999979019,1,1,1,0.730220948346969,3,1303.5490000248,278.605999946594,2,1,0,0.564219195207582,1049,3
4,1,9.35700011253357,9.35700011253357,1,0,0,1,1,3590.64299988747,3590.64299988747,0,0,1,1,1049,4
5,2,106.208000421524,53.104000210762,2,0,0,0.501054724744922,2,3493.79199957848,1746.89599978924,1,0,1,0.862846956217006,1049,3
6,4,524.403000116348,105.444000005722,4,0,0,0.383036928502894,4,3075.59699988365,843.918499946594,0,4,0,0.258932214760865,1049,3
7,7,629.466999769211,30.625,6,1,0,0.372691409704847,7,2970.53300023079,169.078999996185,4,3,0,0.304377322679935,1049,3
8,1,4.00699996948242,4.00699996948242,1,0,0,1,1,3595.99300003052,3595.99300003052,0,0,1,1,1049,5
9,1,7.21799993515015,7.21799993515015,1,0,0,1,1,3592.78200006485,3592.78200006485,0,0,1,1,1049,4
10,2,18.5890002250671,9.29450011253357,2,0,0,0.504579412235391,2,3581.41099977493,1790.70549988747,1,0,1,0.949301012879311,1049,3
11,1,174.243999958038,174.243999958038,1,0,0,1,1,3425.75600004196,3425.75600004196,0,0,1,1,1049,2
12,1,8.66199994087219,8.66199994087219,1,0,0,1,1,3591.33800005913,3591.33800005913,0,0,1,1,1049,5
13,2,869.659999847412,434.829999923706,1,1,0,0.981938313147945,1,2730.34000015259,2730.34000015259,0,0,1,1,1049,5
14,2,448.259000062943,224.129500031471,1,1,0,0.966635769376167,1,3151.74099993706,3151.74099993706,0,0,1,1,1049,5
15,2,342.510999917984,171.255499958992,1,1,0,0.959552016238058,2,3257.48900008202,1628.74450004101,0,1,1,0.589750558209228,1049,5
16,1,19.9559998512268,19.9559998512268,1,0,0,1,1,3580.04400014877,3580.04400014877,0,0,1,1,1049,5
17,5,2635.26999998093,234.06200003624,3,2,0,0.498633627949157,4,964.730000019073,88.5625,3,1,0,0.688258544350763,1049,4
18,1,2.69799995422363,2.69799995422363,1,0,0,1,1,3597.30200004578,3597.30200004578,0,0,1,1,1049,5
1,2,17.2569999694824,8.62849998474121,2,0,0,0.527281298254976,2,3582.74300003052,1791.37150001526,0,1,1,0.500092957750522,1053,3
2,3,179.421000242233,26.4190001487732,3,0,0,0.542645467514263,3,3420.57899975777,1400.28399991989,0,3,0,0.375446354182683,1053,3
3,8,940.641000270844,108.24749994278,8,0,0,0.185371913915947,7,2659.35899972916,400.633999824524,3,4,0,0.211759511965429,1053,1
4,11,941.827000141144,55.5840001106262,10,1,0,0.182904313572931,11,2658.17299985886,270.065999984741,6,5,0,0.120964220629992,1053,2
5,8,424.604999780655,22.698499917984,8,0,0,0.25939320999055,8,3175.39500021935,346.731500029564,3,5,0,0.205282213981057,1053,2
6,6,770.916000127792,114.820000171661,6,0,0,0.26602128537674,6,2829.08399987221,181.055999994278,4,2,0,0.33260482080813,1053,1
7,3,135.105999946594,47.7829999923706,3,0,0,0.493023505636812,3,3464.89400005341,1408.17700004578,1,1,1,0.448355229270323,1053,3
8,3,91.1449997425079,10.6150000095367,3,0,0,0.712039661962391,3,3508.85500025749,1272.64800000191,0,2,1,0.428098913725226,1053,3
9,3,210.545000076294,45.8689999580383,3,0,0,0.519102885786135,3,3389.45499992371,917.40700006485,0,2,1,0.423940852791695,1053,3
10,7,523.001999616623,47.0199999809265,7,0,0,0.264920928516333,7,3076.99800038338,446.072000026703,3,4,0,0.240874777300635,1053,2
11,4,210.017000436783,23.772500038147,4,0,0,0.529839877484953,4,3389.98299956322,571.201499819756,1,2,1,0.453908901620188,1053,4
12,3,106.419999837875,10.4869999885559,3,0,0,0.746748222371473,3,3493.58000016212,706.138000011444,1,1,1,0.58926741362971,1053,3
1,2,94.4840002059937,47.2420001029968,2,0,0,0.896099355773077,2,3505.51599979401,1752.757999897,0,1,1,0.50610886032205,1059,5
2,1,31.0139999389648,31.0139999389648,1,0,0,1,1,3568.98600006104,3568.98600006104,0,0,1,1,1059,5
3,1,22.8680000305176,22.8680000305176,1,0,0,1,2,3577.13199996948,1788.56599998474,0,1,1,0.539897455661966,1059,5
4,3,745.00800037384,166.171000003815,2,1,0,0.428358673937484,3,2854.99199962616,909.634999752045,1,2,0,0.486369740177932,1059,5
5,1,23.4630002975464,23.4630002975464,1,0,0,1,1,3576.53699970245,3576.53699970245,0,0,1,1,1059,3
6,6,511.911000013351,70.5714999437332,6,0,0,0.29457271319989,6,3088.08899998665,459.72000002861,3,3,0,0.307785985569148,1059,5
7,4,50.9390001296997,6.87150001525879,4,0,0,0.491540207497074,4,3549.0609998703,895.786000132561,1,3,0,0.419230695632217,1059,5
8,5,318.890999794006,7.05900001525879,5,0,0,0.786654350830847,5,3281.10900020599,293.162000179291,3,1,1,0.441949695944555,1059,5
9,8,1263.71499991417,88.5270000696182,6,2,0,0.281429367287832,7,2336.28500008583,263.855999946594,5,2,0,0.296414611145325,1059,5
10,3,1201.14100050926,101.712000131607,2,1,0,0.835363232023288,3,2398.85899949074,1050.70799970627,1,2,0,0.449451203543177,1059,5
11,8,1448.14899992943,192.631000041962,5,3,0,0.209235080032659,8,2151.85100007057,280.052500009537,4,4,0,0.215443900134221,1059,5
